frame,u,v,type
92,564.8630354779004,118.95360348756641,predicted
93,558.8462049003814,115.41736495472496,predicted
94,553.4310573806142,112.65766694183432,predicted
95,550.5689437866212,172.19195946587456,real
96,546.3846301787897,186.950525365911,predicted
97,528.1316711425782,186.8433649698893,real
98,517.4461812973022,199.1097551981608,real
99,503.87215690612794,209.88098288642036,real
100,503.89588851928715,209.72985763549804,real
101,492.87545700073247,222.39786898295085,real
102,206.90653076171876,605.9812120225695,real
103,207.3020661354065,605.8875632392036,real
104,207.4231686592102,605.8374864366319,real
105,207.5261838912964,605.8697007921007,real
106,207.7013955116272,605.8454883999295,fixed
107,207.87660713195802,605.8212760077582,real
108,208.2098937034607,605.8309471978082,real
109,208.36122093200683,605.7944651285807,real
110,209.0321822166443,605.8206220838758,real
111,209.6847930908203,605.7776696099176,real
112,209.74282350540162,605.7345794677734,real
113,210.32956981658936,605.7929507785374,real
114,210.78920431137087,605.5795650906033,real
115,211.50545597076416,605.560188293457,real
116,211.99706363677979,605.403074476454,real
117,213.0063192367554,605.4096137152778,real
118,213.0091371536255,605.4045199924045,real
119,213.7766715049744,605.3869672987196,real
120,214.4463935852051,605.3780877007379,real
121,215.34227895736694,605.3933000352647,real
122,215.82537345886232,605.4367343478733,real
123,216.54073390960696,605.2612762451172,real
124,216.52784957885743,605.2764541625977,real
125,217.149684047699,605.394952053494,real
126,217.772078704834,605.319406636556,real
127,218.01204299926758,605.3639078776041,real
128,313.09826812744143,436.04692476060654,real
129,313.49992637031215,436.47603995589094,predicted
130,313.8614187888959,437.28516029831354,predicted
131,307.6234630584717,467.14212392171225,real
132,473.3316757202149,258.43478813171384,real
133,563.9257678985596,179.9330931769477,real
134,509.19903831481935,229.16332244873047,real
135,525.1508583068847,219.50309422810872,real
136,525.3951683044434,219.36855799357096,real
137,540.1438396453858,209.04416681925454,real
138,554.0478658676147,203.55765940348306,real
139,558.306507124575,204.2674734754253,predicted
140,220.13898458480836,605.138958062066,real
141,223.97176171607254,606.2007073934806,predicted
142,612.0130100250244,177.8480224609375,real
143,625.3038677215576,171.3064432779948,real
144,631.307048892318,170.63203564405816,predicted
145,637.4968242645264,169.2724560631646,real
146,642.9500677526016,168.90340943360994,predicted
147,648.3581962585449,167.58245862325032,real
148,648.3523906707763,167.57978269788953,real
149,651.7778398279434,167.5895675979172,predicted
150,654.8607440693936,168.0212906746088,predicted
151,653.0670372009278,198.0710745493571,real
152,658.0548179626466,200.4928300221761,real
153,660.4220689406501,207.43941969565233,predicted
154,662.5525948208534,214.1142670684476,predicted
155,664.4700681130363,220.54454637063,predicted
156,670.7753700256347,179.1672794765896,real
157,673.250078201294,169.4223939259847,real
158,677.2646251678467,158.92482477823893,real
159,677.7462852478028,152.1069455464681,real
160,679.9607675515426,144.9733162606392,predicted
161,682.8307918548584,144.31145871480305,real
162,685.7962249755859,139.30185540517172,real
163,686.9012557983399,134.7059019724528,real
164,677.7422790527344,138.02013448079427,real
165,670.9045188903809,139.7510882059733,real
166,670.9114448547364,139.7693894704183,real
167,669.0685396199517,139.42710960818957,predicted
168,667.4099249086455,139.54197439885039,predicted
169,211.62610864639282,605.7996965196397,real
170,211.15360679626465,605.7835205078125,real
171,210.9000367164612,605.78238474528,real
172,210.01082085755402,606.2525928625089,predicted
173,210.56242990493774,605.8102281358507,real
174,210.32938308715822,605.8540066189236,real
175,210.2664722442627,605.8016927083333,real
176,209.82356700897216,605.7892337375217,real
177,209.6271785736084,605.7969431559245,real
178,209.3617927375295,606.2591677273241,predicted
